TaskID,ParentTask,SubtaskTitle,Description,Estimate_hours,Priority,Files,Commits,Acceptance_Criteria,Labels
"1.1","TASK-01","Существующий draft ADR прочитан и замечания собраны","Файл ADR прочитан, замечания по контракту очереди и форматам собраны, список вопросов подготовлен и передан на согласование.",1.5,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/adr/ADR-2026-001-queue-workers.md",e2c9d62,"Список замечаний подготовлен и отправлен на ревью.",docs
"1.2","TASK-01","Контракт очереди задокументирован","Таблицы, поля, статусы задач, TTL, retries и пример записи в очереди определены и задокументированы.",4,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/alembic/versions/20260125_create_processing_jobs.py",e2c9d62,"ADR обновлён, схема таблиц описана.",docs,backend
"1.3","TASK-01","План миграции и rollback подготовлен","Пошаговый план применения миграции и процедура отката описаны; проверки целостности данных добавлены.",2.5,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/templates/migration-plan-template.md",e2c9d62,"Runbook применим локально: alembic upgrade/downgrade протестированы.",docs,infra
"1.4","TASK-01","Checklist для PR миграции добавлен","Чеклист для PR (миграция, тесты, бэкапы, мониторинг) добавлен в шаблон PR.",2,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/templates/pr-template.md",e2c9d62,"PR template обновлён; checklist применён на тестовом PR.",docs
"1.5","TASK-01","ADR согласован с техлидом и правки внесены","ADR ревью проведено с техлидом/архитектором, комментарии собраны и учтены.",3,High,,e2c9d62,"ADR утверждён или помечены открытые вопросы.",docs
"1.6","TASK-01","Тест-скелет и примерные данные обновлены","Тестовые данные подготовлены, пример запуска миграции в dev DB добавлен.",3,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue.py",e2c9d62,"Тесты миграции запускались локально.",tests
"2.1","TASK-02","Спецификация API DAO подготовлена","Публичные методы DAO и контракты для enqueue/claim/update/requeue/fail определены и задокументированы.",4,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/queue.py",e2c9d62,"Документированный API принят.",backend
"2.2","TASK-02","DAO реализован (SQLAlchemy)","DAO с транзакционной логикой реализован: атомарный claim, update и requeue.",20,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/db/database.py",e2c9d62,"CRUD и claim работают под нагрузкой.",backend
"2.3","TASK-02","Сервисный слой реализован","Слой сервисов с retries, backoff и обработкой ошибок добавлен и интегрирован в consumer'ы.",10,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/services.py",e2c9d62,"Service API тестировался unit/integ тестами.",backend
"2.4","TASK-02","Unit‑тесты для DAO и сервиса написаны","Unit-тесты для happy path и ошибок написаны и проходят.",10,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue.py;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue_db.py",e2c9d62,"Unit тесты зелёные.",tests
"2.5","TASK-02","Интеграционные тесты реализованы и пройдены","E2E smoke сценарий подготовлен: задача enqueue→воркер→complete выполнен локально.",12,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/service_factory.py",e2c9d62,"E2E smoke выполнялся локально.",tests
"2.6","TASK-02","Логирование и метрики lifecycle настроены","Логирование состояния задач и минимальные метрики (timings, counts) добавлены.",8,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/utils/metrics.py",e2c9d62,"Метрики появились в логах/метасторе.",monitoring
"2.7","TASK-02","Рефактор и исправления выполнены","Рефактор и исправления по результатам тестов выполнены; race conditions устранены.",16,Medium,,e2c9d62,"Нет race conditions при параллельных claim.",backend
"3.1","TASK-03","Прототип FastAPI whisper service реализован","Минимальный FastAPI сервер для Whisper/Transcribe запущен; endpoint для загрузки и получения транскрипта реализован.",10,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/whisper_service.py",763df02,"Whisper service ответил на тестовый запрос.",worker,infra
"3.2","TASK-03","Dockerfile и entrypoint для whisper подготовлены","Dockerfile и entrypoint для whisper подготовлены и проверены через сборку образа.",8,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/real_whisper/Dockerfile",763df02,"Образ собран без ошибок.",infra
"3.3","TASK-03","DI worker интегрирован с transcribe_client","Интеграция transcribe_client выполнена; флаги DI_WORKER_FORCE_LOCAL и нормализация URL поддержаны.",20,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transcribe_client/di_worker.py;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transcribe_client/__init__.py",b4a3591,"Worker вызывал transcribe_client и получал транскрипт.",worker
"3.4","TASK-03","Сетевые настройки (WireGuard) проверены и настроены","Настройки для запуска WG подготовлены; fallback режим без WG предусмотрен и проверен.",16,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/di_worker/entrypoint.sh;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/di_worker/wg_entrypoint.sh",b4a3591,"WG запускался для тестов; fallback работал корректно.",infra
"3.5","TASK-03","Тесты для whisper service добавлены и прогнаны","Unit/mocked tests для whisper_service и локального адаптера написаны и выполнены.",14,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/mock_whisper_server.py",763df02,"Mock tests были зелёными.",tests
"3.6","TASK-03","Интеграция worker→service→DB и retry policies реализованы","Логика обработки таймаутов, повторов и сохранения состояния в DB реализована.",20,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/pipeline.py",b4a3591,"Логика retry и timeout отработала корректно в интеграции.",backend
"3.7","TASK-03","Benchmark/run скрипты подготовлены","Скрипты run_prepare_and_transcribe и run_chunk_scan подготовлены и дали измерения latency.",12,Low,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/run_prepare_and_transcribe.py;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/di_worker/run_chunk_scan.sh",763df02,"Скрипты дали измерения и пригодны для bench.",tools
"4.1","TASK-04","Chunking logic улучшен","Разбиение длинных транскриптов на части оптимизировано, учтены границы предложений.",10,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/transcribe/transcriber_v4.py",b4a3591,"Chunking корректно разбивает длинные тексты и собирает обратно.",backend
"4.2","TASK-04","Fallback при ошибках LLM реализован","Добавлен возврат raw текста или частичной обработки при ошибках форматирования.",5,Medium,,b4a3591,"Ошибка LLM не ломала цепочку: возвращался raw/partial.",backend
"4.3","TASK-04","Интеграция с OpenRouter/OpenAI выполнена","Header'ы, rate-limits, retry стратегии и обработка больших ответов проверены.",10,High,,b4a3591,"Запросы прошли, headers были корректны.",ai
"4.4","TASK-04","Unit тесты для форматирования написаны","Тесты для format_transcript_with_llm и format_transcript_chunk добавлены.",10,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_transcriber_formatting.py",b4a3591,"Тесты были зелёные.",tests
"4.5","TASK-04","Smoke run на длинном файле выполнен","Прогнан 10-минутный файл и оценены качество/latency.",10,Low,,b4a3591,"Результат был читаем и соответствовал ожиданиям.",qa
"4.6","TASK-04","Логи и метрики токенов/времени настроены","Метрики по токенам и времени обработки добавлены.",15,Low,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/utils/metrics.py",b4a3591,"Метрики собирались и были видны в логах/метасторе.",monitoring
"5.1","TASK-05","Handler flow просмотрен и реорганизован","Код handlers просмотрен и flow упрощён, мелкие шаги вынесены в функции.",12,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/handlers.py",14c3fd2,"Handlers реорганизованы, unit/smoke тесты проходили.",bot
"5.2","TASK-05","processing_guard внедрён и проверен","Механизм ограничения параллельной обработки по пользователю/сессии добавлен.",12,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/processing_guard.py",b4a3591,"Guard предотвращал параллельную обработку для одного пользователя.",bot
"5.3","TASK-05","update_dedupe реализован","Логика дедупликации обновлений и повторных апдейтов добавлена.",10,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/update_dedupe.py",b4a3591,"Дублирующие апдейты игнорировались или корректно обрабатывались.",bot
"5.4","TASK-05","logging_utils интегрирован и trace_id добавлен","Формат логов унифицирован, trace_id добавлен для запросов/задач.",24,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/logging_utils.py",b4a3591,"Логи стандартизированы, trace_id присутствовал в основном flow.",monitoring
"5.5","TASK-05","Обработка больших файлов улучшена","Large_file_downloader доработан и интеграция с локальным TG API для больших файлов проверена.",16,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/utils/large_file_downloader.py",14c3fd2,"Надёжная загрузка больших файлов была подтверждена в dev окружении.",infra
"5.6","TASK-05","Smoke тесты для UX путей написаны","Написать автоматизированные smoke тесты для стартовых сценариев и загрузки медиа.",20,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_minimal_app_pipeline.py",c750d7e,"Smoke тесты выполняются и покрывают основные пути.",tests
"5.7","TASK-05","Исправления и рефактор выполнены","Выполнить правки после smoke/интеграции и устранить найденные баги.",36,High,,b4a3591,"Критические баги исправлены; smoke зелёный.",maintenance
"6.1","TASK-06","Вебхук и handler рефакторированы","Проверить подписи, idempotency и обработку retries.",8,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/yukassa_webhook.py",b4a3591,"Webhook корректно валидирует и применяет платежи.",payments
"6.2","TASK-06","Мониторинг платёжных событий настроен","Собирать события оплаты и отправлять в monitoring/logs.",8,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/payments/monitoring.py",b4a3591,"Платёжные события логируются и метрики появляются.",monitoring
"6.3","TASK-06","Sandbox flow протестирован и исправления внесены","Прогнать сценарий в sandbox и исправить ошибки обработки.",12,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/scripts/send_yukassa_offer.py",b4a3591,"Sandbox сценарий проходит и DB обновляется.",payments
"6.4","TASK-06","Документация и runbook подготовлены","Подготовить инструкцию по настройке webhook и recovery steps.",6,Low,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/YUKASSA_SETUP_GUIDE.md",b4a3591,"Runbook готов и проверен.",docs
"6.5","TASK-06","Логи и тесты добавлены","Добавить логирование ошибок и тесты на обработку нестандартных статусов.",6,Low,,b4a3591,"Тесты и логирование покрывают edge-cases.",tests
"7.1","TASK-07","Dockerfiles проанализированы и места копирования .env выявлены","Найти места, где .env/секреты копируются в образ и убрать это.",6,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/Dockerfile;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/Dockerfile.api",f9323456,"Секреты не копируются; образ не содержит .env.",infra
"7.2","TASK-07","Слои оптимизированы и образ уменьшен","Переписать слои, кеширование pip wheelhouse, multi-stage билды.",10,Medium,,f9323456,"Образ уменьшен и время сборки сокращено.",infra
"7.3","TASK-07","`docker compose build` и `up` протестированы","Собрать и запустить весь стек локально, проверить сервисы.",10,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docker-compose.yml",f9323456,"docker compose up запускает bot/api/worker/postgres.",infra
"7.4","TASK-07","README и quickstart обновлены","Актуализировать разделы по локальному запуску и переменным окружения.",6,Low,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/QUICKSTART.md;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/README.md",f9323456,"Документация обновлена.",docs
"7.5","TASK-07","CI build steps задокументированы","Добавить рекомендации по кэшу и снэпшотам для CI сборки образов.",8,Low,,f9323456,"CI build steps описаны.",ci
"8.1","TASK-08","minimal_app pipeline исправлен","Проверить minimal_app и устранить ошибки pipeline для локального тестирования.",12,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/minimal_app/transcriber.py;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/minimal_app/worker.py",6af943b,"minimal_app проходит E2E локально.",tools
"8.2","TASK-08","Утилиты di_worker стабилизированы","Документировать и исправить утилиты di_worker (entrypoints, scripts).",8,Medium,"https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/tools/di_worker",6af943b,"Утилиты стабильны и описаны в README.",tools
"8.3","TASK-08","README и usage scripts обновлены","Прописать команды запуска и параметры для разработчиков.",6,Low,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/di_worker/README.md",6af943b,"README снабжён примерами.",docs
"8.4","TASK-08","Примеры для разработчиков добавлены","Примеры локального запуска и проверки результатов.",6,Low,,6af943b,"Примеры доступны в репозитории.",docs
"9.1","TASK-09","Все unit tests прогнаны и flaky зафиксированы","Запустить все unit tests и пометить нестабильные.",8,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests",c750d7e,"Список flaky тестов составлен.",tests
"9.2","TASK-09","Mocks для внешних сервисов добавлены","Мокировать OpenAI/Whisper/Yukassa в unit тестах для изоляции.",12,High,,c750d7e,"Тесты не зависят от внешних сервисов.",tests
"9.3","TASK-09","CI pipeline настроен","Добавить шаги: pytest, lint, black check, security scan в GH Actions.",12,High,".github/workflows/*",c750d7e,"CI запускает тесты и линтеры; статус green.",ci
"9.4","TASK-09","Документация по запуску тестов подготовлена","Описать локальный запуск тестов, env.test и mock сценарии.",8,Low,,c750d7e,"Документация доступна и проверена.",docs
"10.1","TASK-10","Список больших файлов составлен и архивирование выполнено","Собрать список больших артефактов и переместить в архивное хранилище.",6,Medium,"https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/exports;https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/results;https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/wheelhouse",b4a3591,"Артефакты архивированы и доступны отдельно.",maintenance
"10.2","TASK-10",".gitignore обновлён и файлы удалены из индекса","Добавить правила в .gitignore и удалить файлы из индекса git.",6,Medium,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/.gitignore",b4a3591,"Файлы исключены из индекса и не попадают в новые коммиты.",maintenance
"10.3","TASK-10","План по очистке истории подготовлен","Подготовить план и список файлов для переписи истории (требует согласования).",4,Low,,b4a3591,"План согласован с командой; выполнение — отдельный шаг.",maintenance
"10.4","TASK-10","Рабочее дерево приведено в порядок","Удаление лишних временных файлов, тестовых дампов и фиктивных данных.",6,Low,,b4a3591,"Рабочее дерево очищено.",maintenance
"11.1","TASK-11","Критические баги закрыты","Исправить найденные в интеграции критичные баги и regressions.",10,High,, ,"Критические баги закрыты.",maintenance
"11.2","TASK-11","Финальный smoke test прогнан","Полный smoke по checklist: bot→enqueue→worker→transcribe→format→store.",4,High,, ,"Smoke green. ",qa
"11.3","TASK-11","Релизный чеклист и runbook подготовлены","Собрать все шаги деплоя, отката и мониторинга в одном runbook'е.",4,Low,, ,"Runbook готов и проверен.",docs
